type;constellation;names;nicknames;ra;dec;mag_v;mag_b;major_axis;minor_axis;angle
g;cet;IC0002;;00:11:00.88;-12:49:22.30;;15.46;0.98;0.32;142
g;psc;IC0003;;00:12:06.09;00:24:54.80;;14.78;0.93;0.67;53
g;peg;IC0004;;00:13:26.94;17:29:11.20;;14.14;1.17;0.84;12
g;cet;IC0005;;00:17:34.93;-9:32:36.10;;14.57;0.99;0.66;9
g;psc;IC0006;;00:18:55.04;-3:16:33.90;;14.57;1.23;1.08;146
g;psc;IC0007;;00:18:53.16;10:35:40.90;;14.63;0.90;0.63;174
g;psc;IC0008;;00:19:02.72;-3:13:19.50;;15.16;0.82;0.34;129
g;cet;IC0009;;00:19:43.98;-14:07:18.80;;15.41;0.59;0.46;122
g;cas;IC0010;;00:20:17.34;59:18:13.60;10.35;11.78;6.76;6.03;129
g;psc;IC0012;;00:20:15.05;-2:39:11.20;;15.08;0.96;0.32;20
g;psc;IC0013;;00:20:20.09;07:42:01.80;;14.93;1.29;0.53;162
g;cet;IC0015;;00:27:57.59;00:03:40.60;;15.90;0.44;0.38;91
g;cet;IC0016;;00:28:07.65;-13:05:38.10;;15.15;0.58;0.32;62
g;cet;IC0017;;00:28:29.78;02:38:55.00;;14.77;0.67;0.54;102
g;cet;IC0018;;00:28:34.96;-11:35:12.10;;15.03;1.08;0.41;29
g;cet;IC0019;;00:28:39.48;-11:38:26.80;;15.15;0.79;0.67;30
g;cet;IC0020;;00:28:39.68;-13:00:37.10;;14.88;0.91;0.77;18
g;cet;IC0021;;00:29:10.43;00:09:49.60;;15.54;0.49;0.45;6
g;cet;IC0022;;00:29:33.17;-9:04:50.70;;14.73;0.81;0.44;45
g;cet;IC0023;;00:30:50.80;-12:43:12.90;;15.05;0.85;0.77;20
g;cet;IC0025;;00:31:12.09;00:24:26.50;;15.29;0.86;0.44;34
g;cet;IC0027;;00:33:06.24;-13:22:17.40;;15.82;0.58;0.34;148
g;cet;IC0028;;00:33:08.72;-13:27:22.60;;15.56;0.30;0.22;85
