name;constellation;bayer;ra;dec;mag;bv
;Phe;τ Phe;00:01:04.59;-48:48:35.55;5.71;0.91
;Oct;θ Oct;00:01:35.82;-77:03:56.61;4.78;1.25
;Scl;ζ Scl;00:02:19.92;-29:43:13.49;5.04;-0.15
Alpheratz;And;α And;00:08:23.25;29:05:25.56;2.07;-0.04
Caph;Cas;β Cas;00:09:10.39;59:08:59.21;2.28;0.38
;Scl;κ1 Scl;00:09:21.06;-27:59:16.54;5.42;0.41
;Phe;ε Phe;00:09:24.61;-45:44:50.73;3.88;1.01
;Oct;γ3 Oct;00:10:02.25;-82:13:26.57;5.29;1.05
;Scl;κ2 Scl;00:11:34.42;-27:47:59.05;5.41;1.35
;Scl;θ Scl;00:11:43.99;-35:07:59.23;5.24;0.46
Algenib;Peg;γ Peg;00:13:14.15;15:11:00.95;2.83;-0.19
;Peg;χ Peg;00:14:36.16;20:12:24.13;4.79;1.57
;And;θ And;00:17:05.51;38:40:53.89;4.61;0.06
;And;σ And;00:18:19.67;36:47:06.81;4.51;0.05
Groombridge 34;And;;00:18:22.23;44:01:22.63;8.09;1.56
Citadelle;Psc;;00:19:17.07;14:03:17.12;8.36;0.92
;Cet;ι Cet;00:19:25.68;-8:49:26.12;3.56;1.21
;Tuc;ζ Tuc;00:20:02.91;-64:52:29.25;4.23;0.58
;Tuc;π Tuc;00:20:39.04;-69:37:29.69;5.50;-0.05
;And;ρ And;00:21:07.26;37:58:06.97;5.16;0.44
;Scl;ι Scl;00:21:31.19;-28:58:53.29;5.18;1.01
;Hyi;β Hyi;00:25:40.50;-77:15:15.29;2.82;0.62
;Phe;κ Phe;00:26:12.18;-43:40:47.38;3.93;0.17
Ankaa;Phe;α Phe;00:26:17.00;-42:18:21.53;2.40;1.08
;Scl;η Scl;00:27:55.70;-33:00:25.80;4.86;1.63
Felixvarela;Cet;;00:28:34.32;-16:13:34.84;9.62;1.13
;Phe;λ1 Phe;00:31:24.94;-48:48:12.65;4.76;0.02
;Tuc;β1 Tuc;00:31:32.61;-62:57:29.58;4.36;-0.06
;Tuc;β2 Tuc;00:31:33.41;-62:57:56.02;4.53;0.15
;Cas;λ Cas;00:31:46.34;54:31:20.24;4.74;-0.10
;Tuc;β3 Tuc;00:32:43.84;-63:01:53.40;5.07;0.04
;Cas;κ Cas;00:32:59.99;62:55:54.42;4.17;0.13
;Tuc;θ Tuc;00:33:23.27;-71:15:58.49;6.11;0.26
;Phe;λ2 Phe;00:35:41.16;-48:00:03.27;5.51;0.46
;And;π And;00:36:52.85;33:43:09.64;4.34;-0.12
Fulu;Cas;ζ Cas;00:36:58.28;53:53:48.87;3.69;-0.20
;And;ε And;00:38:33.37;29:18:42.30;4.34;0.87
;And;δ And;00:39:19.66;30:51:39.69;3.27;1.27
Schedar;Cas;α Cas;00:40:30.42;56:32:14.39;2.24;1.17
;Phe;μ Phe;00:41:19.56;-46:05:06.03;4.59;0.95
;Phe;ξ Phe;00:41:46.36;-56:30:04.73;5.72;0.13
;Cas;ξ Cas;00:42:03.89;50:30:45.09;4.80;-0.10
;Tuc;ρ Tuc;00:42:28.33;-65:28:04.91;5.38;0.51
;Scl;λ1 Scl;00:42:42.89;-38:27:48.54;6.05;-0.02
;Phe;η Phe;00:43:21.24;-57:27:47.02;4.36;0.02
;Cas;π Cas;00:43:28.08;47:01:28.37;4.95;0.17
Diphda;Cet;β Cet;00:43:35.36;-17:59:11.78;2.04;1.02
;Cet;φ1 Cet;00:44:11.40;-10:36:34.38;4.77;1.00
;Scl;λ2 Scl;00:44:12.06;-38:25:18.07;5.90;1.14
Cocibolca;Scl;;00:44:26.63;-26:30:56.45;7.78;0.66
;Cas;ο Cas;00:44:43.51;48:17:03.71;4.48;-0.07
;And;ζ And;00:47:20.33;24:16:01.84;4.08;1.10
96 G. Psc;Psc;;00:48:22.98;05:16:50.21;5.74;0.89
;Hyi;λ Hyi;00:48:35.20;-74:55:24.38;5.09;1.35
;Psc;δ Psc;00:48:40.94;07:35:06.28;4.44;1.50
;Cas;ν Cas;00:48:50.01;50:58:05.40;4.90;-0.09
Achird;Cas;η Cas;00:49:05.74;57:48:54.67;3.46;0.59
Van Maanen's Star;Psc;;00:49:09.90;05:23:19.00;12.37;0.55
;And;ν And;00:49:48.84;41:04:44.08;4.53;-0.14
